file_path,height,width,channels,background,illumination,environment,objects_in_image_code,objects_in_image_numeric,label_code,label_numeric,augmentation
data/blue_night_outside/phone-blackkc-bluebs-d20.jpg,385,217,3,blue,night,outside,"['phone', 'blackkc', 'bluebs', 'd20']","[8, 1, 5, 4]",phone,8,None
data/blue_night_outside/phone-blackkc-bluebs-d20.jpg,385,217,3,blue,night,outside,"['phone', 'blackkc', 'bluebs', 'd20']","[8, 1, 5, 4]",blackkc,1,None
data/blue_night_outside/phone-blackkc-bluebs-d20.jpg,385,217,3,blue,night,outside,"['phone', 'blackkc', 'bluebs', 'd20']","[8, 1, 5, 4]",bluebs,5,None
data/blue_night_outside/phone-blackkc-bluebs-d20.jpg,385,217,3,blue,night,outside,"['phone', 'blackkc', 'bluebs', 'd20']","[8, 1, 5, 4]",d20,4,None
data/blue_night_outside/bluebs-mic-phone.jpg,385,217,3,blue,night,outside,"['bluebs', 'mic', 'phone']","[5, 9, 8]",bluebs,5,None
data/blue_night_outside/bluebs-mic-phone.jpg,385,217,3,blue,night,outside,"['bluebs', 'mic', 'phone']","[5, 9, 8]",mic,9,None
data/blue_night_outside/bluebs-mic-phone.jpg,385,217,3,blue,night,outside,"['bluebs', 'mic', 'phone']","[5, 9, 8]",phone,8,None
data/blue_night_outside/bluebs-d6-blackkc.jpg,385,217,3,blue,night,outside,"['bluebs', 'd6', 'blackkc']","[5, 3, 1]",bluebs,5,None
data/blue_night_outside/bluebs-d6-blackkc.jpg,385,217,3,blue,night,outside,"['bluebs', 'd6', 'blackkc']","[5, 3, 1]",d6,3,None
data/blue_night_outside/bluebs-d6-blackkc.jpg,385,217,3,blue,night,outside,"['bluebs', 'd6', 'blackkc']","[5, 3, 1]",blackkc,1,None
data/blue_night_outside/mic-d20-phone-orangekc.jpg,385,217,3,blue,night,outside,"['mic', 'd20', 'phone', 'orangekc']","[9, 4, 8, 2]",mic,9,None
data/blue_night_outside/mic-d20-phone-orangekc.jpg,385,217,3,blue,night,outside,"['mic', 'd20', 'phone', 'orangekc']","[9, 4, 8, 2]",d20,4,None
data/blue_night_outside/mic-d20-phone-orangekc.jpg,385,217,3,blue,night,outside,"['mic', 'd20', 'phone', 'orangekc']","[9, 4, 8, 2]",phone,8,None
data/blue_night_outside/mic-d20-phone-orangekc.jpg,385,217,3,blue,night,outside,"['mic', 'd20', 'phone', 'orangekc']","[9, 4, 8, 2]",orangekc,2,None
data/blue_night_outside/brownbs-phone-blackkc-orangekc.jpg,385,217,3,blue,night,outside,"['brownbs', 'phone', 'blackkc', 'orangekc']","[6, 8, 1, 2]",brownbs,6,None
data/blue_night_outside/brownbs-phone-blackkc-orangekc.jpg,385,217,3,blue,night,outside,"['brownbs', 'phone', 'blackkc', 'orangekc']","[6, 8, 1, 2]",phone,8,None
data/blue_night_outside/brownbs-phone-blackkc-orangekc.jpg,385,217,3,blue,night,outside,"['brownbs', 'phone', 'blackkc', 'orangekc']","[6, 8, 1, 2]",blackkc,1,None
data/blue_night_outside/brownbs-phone-blackkc-orangekc.jpg,385,217,3,blue,night,outside,"['brownbs', 'phone', 'blackkc', 'orangekc']","[6, 8, 1, 2]",orangekc,2,None
data/blue_night_outside/blackkc-switch-watch-d6.jpg,385,217,3,blue,night,outside,"['blackkc', 'switch', 'watch', 'd6']","[1, 0, 7, 3]",blackkc,1,None
data/blue_night_outside/blackkc-switch-watch-d6.jpg,385,217,3,blue,night,outside,"['blackkc', 'switch', 'watch', 'd6']","[1, 0, 7, 3]",switch,0,None
data/blue_night_outside/blackkc-switch-watch-d6.jpg,385,217,3,blue,night,outside,"['blackkc', 'switch', 'watch', 'd6']","[1, 0, 7, 3]",watch,7,None
data/blue_night_outside/blackkc-switch-watch-d6.jpg,385,217,3,blue,night,outside,"['blackkc', 'switch', 'watch', 'd6']","[1, 0, 7, 3]",d6,3,None
data/blue_night_outside/bluebs-d20-switch.jpg,385,217,3,blue,night,outside,"['bluebs', 'd20', 'switch']","[5, 4, 0]",bluebs,5,None
data/blue_night_outside/bluebs-d20-switch.jpg,385,217,3,blue,night,outside,"['bluebs', 'd20', 'switch']","[5, 4, 0]",d20,4,None
data/blue_night_outside/bluebs-d20-switch.jpg,385,217,3,blue,night,outside,"['bluebs', 'd20', 'switch']","[5, 4, 0]",switch,0,None
data/blue_night_outside/switch-phone-mic-d6-d20.jpg,385,217,3,blue,night,outside,"['switch', 'phone', 'mic', 'd6', 'd20']","[0, 8, 9, 3, 4]",switch,0,None
data/blue_night_outside/switch-phone-mic-d6-d20.jpg,385,217,3,blue,night,outside,"['switch', 'phone', 'mic', 'd6', 'd20']","[0, 8, 9, 3, 4]",phone,8,None
data/blue_night_outside/switch-phone-mic-d6-d20.jpg,385,217,3,blue,night,outside,"['switch', 'phone', 'mic', 'd6', 'd20']","[0, 8, 9, 3, 4]",mic,9,None
data/blue_night_outside/switch-phone-mic-d6-d20.jpg,385,217,3,blue,night,outside,"['switch', 'phone', 'mic', 'd6', 'd20']","[0, 8, 9, 3, 4]",d6,3,None
data/blue_night_outside/switch-phone-mic-d6-d20.jpg,385,217,3,blue,night,outside,"['switch', 'phone', 'mic', 'd6', 'd20']","[0, 8, 9, 3, 4]",d20,4,None
data/blue_night_outside/brownbs-d20-blackkc.jpg,385,217,3,blue,night,outside,"['brownbs', 'd20', 'blackkc']","[6, 4, 1]",brownbs,6,None
data/blue_night_outside/brownbs-d20-blackkc.jpg,385,217,3,blue,night,outside,"['brownbs', 'd20', 'blackkc']","[6, 4, 1]",d20,4,None
data/blue_night_outside/brownbs-d20-blackkc.jpg,385,217,3,blue,night,outside,"['brownbs', 'd20', 'blackkc']","[6, 4, 1]",blackkc,1,None
data/blue_night_outside/d6-mic-phone.jpg,385,217,3,blue,night,outside,"['d6', 'mic', 'phone']","[3, 9, 8]",d6,3,None
data/blue_night_outside/d6-mic-phone.jpg,385,217,3,blue,night,outside,"['d6', 'mic', 'phone']","[3, 9, 8]",mic,9,None
data/blue_night_outside/d6-mic-phone.jpg,385,217,3,blue,night,outside,"['d6', 'mic', 'phone']","[3, 9, 8]",phone,8,None
data/blue_night_outside/watch-switch-blackkc-mic.jpg,385,217,3,blue,night,outside,"['watch', 'switch', 'blackkc', 'mic']","[7, 0, 1, 9]",watch,7,None
data/blue_night_outside/watch-switch-blackkc-mic.jpg,385,217,3,blue,night,outside,"['watch', 'switch', 'blackkc', 'mic']","[7, 0, 1, 9]",switch,0,None
